gwb_code_10,gwb_code_8,regio,gm_naam,recs,gwb_code,ind_wbi,a_inw,a_man,a_vrouw,a_hh,a_1p_hh,a_hh_z_k,a_hh_m_k,g_hhgro,bev_dich,a_woning,g_wozbag,p_1gezw,p_mgezw,p_bewndw,p_leegsw,p_koopw,p_huurw,p_wcorpw,p_ov_hw,p_e_o_w,p_bjj2k,p_bjo2k,g_ele,g_ele_ap,g_ele_tw,g_ele_hw,g_ele_2w,g_ele_vw,g_ele_hu,g_ele_ko,g_gas,g_gas_ap,g_gas_tw,g_gas_hw,g_gas_2w,g_gas_vw,g_gas_hu,g_gas_ko,p_stadsv,g_hh_sti,a_bedv,a_bed_a,a_bed_bf,a_bed_gi,a_bed_hj,a_bed_kl,a_bed_mn,a_bed_oq,a_bed_ru,a_pau,a_bst_b,a_bst_nb,g_pau_hh,g_pau_km,a_m2w,a_opp_ha,a_lan_ha,a_wat_ha,pst_mvp,pst_dekp,ste_mvs,ste_oad,g_hh_sti_2021,p_hh_osm_2021,p_hh_110_2021,p_hh_120_2021,m_hh_ver_2021
BU00140000,00140000,Binnenstad-Noord,Groningen,Buurt,BU00140000,1,4405,2315,2090,3565,2935,535,100,1,11875,2436,289,12,88,88,12,12,88,19,69,0,94,6,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1070,0,45,335,95,75,230,120,170,720,530,190,0,1944,55,39,37,2,9712,1,1,6865,19.8,10.7,16.5,19.6,-1.6
BU00140001,00140001,Binnenstad-Zuid,Groningen,Buurt,BU00140001,1,6570,3505,3060,5285,4335,805,145,1,11919,3940,283,8,92,89,11,12,88,24,64,1,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,1790,0,60,540,140,115,320,195,415,970,720,250,0,1761,110,59,55,4,9711,1,1,6586,19.4,12.4,17.8,20.9,-1.2
BU00140002,00140002,Binnenstad-Oost,Groningen,Buurt,BU00140002,1,4160,2155,2005,3305,2610,560,130,1,15522,2703,254,13,87,93,7,11,89,32,57,0,79,21,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,630,0,45,115,65,30,155,110,110,735,590,150,0,2749,60,29,27,2,9711,3,1,6264,18.9,14.6,21.6,25.7,0
BU00140003,00140003,Binnenstad-West,Groningen,Buurt,BU00140003,1,1700,940,765,1375,1100,230,45,1,17446,1058,278,11,89,90,10,13,87,15,71,0,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,310,0,15,70,35,20,80,30,55,355,290,65,0,3624,35,11,10,1,9718,1,1,6576,-99999,10.7,15.7,19,0
BU00140004,00140004,Noorderplantsoen,Groningen,Buurt,BU00140004,1,10,5,0,5,0,5,0,2,57,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,-99999,-99999,0,20,19,0,9717,2,1,6447,-99999,-99999,-99999,-99999,-99999
BU00140005,00140005,Hortusbuurt-Ebbingekwartier,Groningen,Buurt,BU00140005,1,5875,2945,2925,4405,3435,720,245,1,13502,3213,287,21,79,92,8,24,76,30,46,0,71,29,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,990,0,50,170,100,50,265,140,210,1200,935,260,0,2755,115,45,43,1,9712,2,1,6898,22.3,11.7,17.3,20,1.2
BU00140007,00140007,UMCG,Groningen,Buurt,BU00140007,1,0,0,0,5,0,0,0,1,-99999,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,40,0,0,15,0,0,5,15,5,0,0,0,-99999,-99999,0,24,24,0,9713,1,1,6600,-99999,-99999,-99999,-99999,-99999
BU00140008,00140008,Stationsgebied,Groningen,Buurt,BU00140008,1,430,170,255,390,350,30,5,1,3338,75,531,7,93,84,16,73,25,0,25,1,15,85,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,90,0,20,10,15,5,20,15,10,85,70,15,0,671,5,15,13,2,9726,1,1,5935,-99999,-99999,-99999,-99999,6.2
BU00140100,00140100,De Meeuwen,Groningen,Buurt,BU00140100,1,1770,845,925,1190,805,230,150,2,8107,567,358,39,61,96,4,55,45,15,30,0,70,30,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,185,0,15,10,15,30,60,40,15,590,445,140,1,2690,25,23,22,1,9723,1,1,4431,-99999,3.6,5.7,7.3,65.3
BU00140101,00140101,Oosterpoort,Groningen,Buurt,BU00140101,1,4925,2425,2500,3580,2555,750,270,1,12425,2933,277,32,68,95,5,27,73,26,47,0,96,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,715,0,45,85,75,45,190,125,150,1320,1060,260,0,3327,110,42,40,2,9724,1,1,4421,23.8,11.5,16.7,20.2,2.6
BU00140102,00140102,Herewegbuurt,Groningen,Buurt,BU00140102,1,1580,775,805,1095,745,260,90,1,9714,832,320,28,72,95,5,39,61,6,54,0,93,7,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,230,0,10,25,25,10,55,70,35,445,350,95,0,2746,40,16,16,0,9725,1,1,4422,-99999,7.4,10,11.8,3.8
BU00140103,00140103,Rivierenbuurt,Groningen,Buurt,BU00140103,1,4540,2240,2300,3350,2415,695,235,1,8207,2679,269,4,96,95,5,26,73,34,39,0,86,14,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,525,0,25,65,55,25,130,135,85,1205,1000,200,0,2175,100,56,55,1,9725,1,1,4301,23.1,10.8,16.4,19.9,2.9
BU00140104,00140104,Grunobuurt,Groningen,Buurt,BU00140104,1,2315,1125,1190,1615,1100,330,185,1,10589,1368,275,2,98,96,4,29,70,37,33,0,69,31,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,235,0,15,35,20,10,55,50,55,670,545,125,0,3075,60,23,22,1,9727,1,1,3814,-99999,8.5,12.6,14.7,4.7
BU00140105,00140105,Badstratenbuurt,Groningen,Buurt,BU00140105,1,875,450,425,695,545,120,35,1,14606,564,240,25,75,93,7,20,80,29,50,0,98,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,105,0,5,15,10,5,25,30,15,170,145,25,0,2861,25,7,6,1,9726,1,1,5737,-99999,14.6,21.8,25.7,1
BU00140106,00140106,Zeeheldenbuurt,Groningen,Buurt,BU00140106,1,3690,1790,1900,2795,2085,575,135,1,11061,2043,249,4,96,96,4,27,73,16,57,0,87,13,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,280,0,15,35,30,5,90,55,50,785,645,140,0,2345,70,35,33,1,9726,1,1,4096,-99999,6.3,9.5,11.8,0.6
BU00140107,00140107,Laanhuizen,Groningen,Buurt,BU00140107,1,1235,620,615,835,540,225,70,2,6002,687,269,13,87,97,3,53,47,3,44,0,99,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,120,0,10,10,10,5,40,25,20,390,320,70,1,1886,35,21,21,0,9727,1,1,3617,-99999,4.7,6.4,7.2,20.5
BU00140108,00140108,Stadspark,Groningen,Buurt,BU00140108,1,15,10,5,10,10,0,0,1,11,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,10,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,10,5,0,-99999,-99999,0,139,129,10,9727,1,2,2283,-99999,-99999,-99999,-99999,-99999
BU00140109,00140109,Martini Trade Park,Groningen,Buurt,BU00140109,1,5,5,5,0,5,0,0,1,-99999,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,165,0,5,15,20,15,75,25,10,65,40,25,-99999,-99999,0,25,25,0,9727,1,1,2831,-99999,-99999,-99999,-99999,-99999
BU00140110,00140110,Peizerweg,Groningen,Buurt,BU00140110,2,230,135,100,225,220,5,0,1,627,9,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,115,0,10,40,20,5,20,10,10,55,15,40,0,149,5,37,37,0,9727,5,4,945,-99999,-99999,-99999,-99999,-99999
BU00140200,00140200,Oranjebuurt,Groningen,Buurt,BU00140200,1,2585,1240,1345,1665,1045,380,235,2,9872,1381,316,22,78,97,3,42,58,32,26,0,100,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,300,0,10,25,30,25,95,60,60,810,615,195,1,3096,55,27,26,1,9717,1,1,5593,-99999,13.9,17.9,20.5,12.4
BU00140201,00140201,Noorderplantsoenbuurt,Groningen,Buurt,BU00140201,1,3815,1830,1980,2675,1890,540,240,1,15255,2292,267,35,65,95,5,39,61,15,46,0,98,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,470,0,30,50,35,15,145,85,100,980,790,190,0,3921,105,25,25,0,9717,1,1,6381,-99999,9,13.4,16.6,7.8
BU00140202,00140202,Schildersbuurt,Groningen,Buurt,BU00140202,1,5475,2625,2845,4035,3025,750,255,1,14995,2658,332,26,74,94,6,35,65,10,54,0,97,3,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,705,0,30,100,45,60,215,130,120,1275,990,285,0,3488,110,39,36,3,9718,1,1,5682,22.7,7.2,9.9,12,1.2
BU00140203,00140203,Kostverloren,Groningen,Buurt,BU00140203,1,2285,1150,1135,1575,1065,325,190,1,9227,1401,254,11,89,97,3,24,75,48,27,0,78,22,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,245,0,15,25,20,10,55,85,40,665,550,120,0,2686,45,26,25,2,9718,1,1,3924,-99999,15.8,22.9,26.7,2.5
BU00140300,00140300,De Hoogte,Groningen,Buurt,BU00140300,1,4105,2120,1980,2720,1830,455,435,2,7433,2599,221,22,78,97,3,8,92,74,18,0,79,21,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,405,0,55,70,50,5,85,65,70,1115,935,180,0,2018,80,57,55,2,9716,1,1,5264,21.1,21,30.2,35,0.6
BU00140301,00140301,Indische buurt,Groningen,Buurt,BU00140301,1,8170,4155,4020,5585,3870,1005,705,2,11800,4881,235,12,88,96,4,15,85,61,24,0,89,11,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,725,0,50,105,65,20,195,135,150,2000,1675,325,0,2889,160,72,69,2,9715,1,1,5136,20.5,21.3,30,34.8,0.9
BU00140302,00140302,Professorenbuurt,Groningen,Buurt,BU00140302,1,6025,2835,3190,4110,2815,900,395,2,11325,3325,267,13,87,93,7,29,71,21,50,0,73,27,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,570,0,35,75,50,20,170,110,105,1420,1170,250,0,2670,135,57,53,4,9714,1,1,5401,22.2,7.4,11.3,13.8,2.2
BU00140400,00140400,Gorechtbuurt,Groningen,Buurt,BU00140400,1,4655,2235,2420,3225,2195,725,310,1,12352,2817,262,10,90,95,5,26,74,31,44,0,87,13,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,450,0,25,55,45,20,120,110,75,1200,980,220,0,3187,120,38,38,1,9713,1,1,5413,23.5,12.8,18.2,20.8,2.8
BU00140401,00140401,Vogelbuurt,Groningen,Buurt,BU00140401,1,2930,1435,1500,1785,1110,325,355,2,8319,1799,263,17,83,93,7,15,85,65,20,0,47,53,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,285,0,25,35,40,10,75,55,45,775,640,130,0,2198,45,37,35,2,9713,1,1,4333,-99999,24.8,35.8,40.1,1.8
BU00140402,00140402,Bloemenbuurt,Groningen,Buurt,BU00140402,1,2795,1375,1415,1840,1175,330,335,2,12009,1753,251,41,59,97,3,22,78,67,12,0,97,3,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,255,0,25,30,25,0,65,60,50,800,700,100,0,3432,75,23,23,0,9713,1,1,3597,-99999,22.3,31.8,35.5,2.3
BU00140403,00140403,Florabuurt,Groningen,Buurt,BU00140403,1,1445,720,725,865,500,185,180,2,5803,824,285,31,69,98,2,50,50,28,22,0,79,21,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,150,0,5,15,15,5,40,40,25,495,410,85,1,1978,55,29,25,4,9713,1,1,2852,-99999,10.7,15.8,17.3,23
BU00140404,00140404,Damsterbuurt,Groningen,Buurt,BU00140404,1,880,465,410,655,510,95,55,1,3201,559,-99999,10,90,95,5,15,85,54,30,0,61,39,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,95,0,10,20,5,5,20,15,20,230,190,40,0,838,20,37,27,10,9713,1,1,3873,-99999,16.2,21.9,25.9,0.5
BU00140500,00140500,De Linie,Groningen,Buurt,BU00140500,1,930,485,445,430,165,115,150,2,8612,430,411,36,64,97,3,69,31,10,20,0,5,95,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,150,0,5,10,10,20,50,40,15,360,245,110,1,3315,35,12,11,1,9723,1,1,3374,-99999,1,1.7,2,148
BU00140501,00140501,Europapark,Groningen,Buurt,BU00140501,1,1330,675,660,890,545,285,65,2,3032,935,315,5,95,93,7,25,75,16,60,0,0,100,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,320,0,10,25,55,55,100,40,35,610,415,200,1,1395,30,48,44,4,9723,1,2,2193,-99999,3.9,4.6,5.9,81.9
BU00140502,00140502,Eemskanaal,Groningen,Buurt,BU00140502,1,165,85,85,110,80,5,25,2,131,10,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,265,0,25,75,25,35,50,20,35,210,120,90,2,167,10,144,125,18,9723,1,3,1159,-99999,-99999,-99999,-99999,-99999
BU00140503,00140503,Kop van Oost,Groningen,Buurt,BU00140503,1,710,365,345,400,195,130,75,2,12240,398,385,23,77,95,5,46,54,18,36,0,3,97,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,110,0,5,15,10,20,40,15,10,260,195,65,1,4476,25,6,6,1,9723,1,1,4294,-99999,1.8,2.1,3.8,96.3
BU00140504,00140504,Woonschepenhaven,Groningen,Buurt,BU00140504,1,130,70,60,80,45,25,10,2,1936,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,10,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,50,40,10,1,739,10,12,7,5,9723,1,3,1060,-99999,-99999,-99999,-99999,-99999
BU00140505,00140505,Driebond,Groningen,Buurt,BU00140505,1,60,40,20,10,10,5,0,1,66,4,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,275,0,40,105,20,15,65,20,5,1240,615,625,-99999,-99999,5,96,91,4,9723,1,5,412,-99999,-99999,-99999,-99999,-99999
BU00140506,00140506,Eemspoort,Groningen,Buurt,BU00140506,1,30,15,15,10,0,5,5,3,29,12,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,560,0,95,155,60,50,150,25,20,625,390,240,-99999,-99999,20,108,108,0,9723,1,5,282,-99999,-99999,-99999,-99999,-99999
BU00140507,00140507,Euvelgunne,Groningen,Buurt,BU00140507,1,55,35,20,25,10,5,10,2,55,6,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,190,0,40,65,10,15,35,15,15,250,105,145,-99999,-99999,10,101,98,3,9723,1,5,307,-99999,-99999,-99999,-99999,-99999
BU00140508,00140508,Winschoterdiep,Groningen,Buurt,BU00140508,1,140,105,35,30,20,5,5,1,106,8,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,165,0,45,50,5,10,30,5,15,230,110,120,-99999,-99999,5,141,130,11,9723,1,4,883,-99999,-99999,-99999,-99999,-99999
BU00140509,00140509,Stainkoel'n,Groningen,Buurt,BU00140509,1,0,0,0,0,0,0,0,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,-99999,-99999,0,91,87,4,9723,1,5,137,-99999,-99999,-99999,-99999,-99999
BU00140510,00140510,Roodehaan,Groningen,Buurt,BU00140510,1,25,10,10,15,5,0,0,2,14,9,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,5,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,0,0,-99999,-99999,0,195,191,4,9723,1,5,34,-99999,-99999,-99999,-99999,-99999
BU00140511,00140511,Waterhuizen,Groningen,Buurt,BU00140511,1,5,0,5,0,0,0,0,5,-99999,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,5,5,0,-99999,-99999,0,48,45,3,9723,1,5,6,-99999,-99999,-99999,-99999,-99999
BU00140600,00140600,Sterrebosbuurt,Groningen,Buurt,BU00140600,1,860,555,310,265,65,110,90,2,1436,263,447,59,41,97,3,71,29,0,28,0,7,93,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,105,0,5,5,10,10,35,25,10,270,190,85,1,455,10,62,60,2,9722,5,1,3752,-99999,9.4,11.3,11.3,98.8
BU00140601,00140601,Coendersborg,Groningen,Buurt,BU00140601,1,3085,1440,1640,1550,775,400,370,2,4244,1701,313,37,63,93,7,58,41,13,28,0,90,10,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,270,0,15,30,20,10,85,90,25,1185,950,235,1,1634,65,74,73,2,9722,1,2,2225,-99999,3.2,4.8,5.7,131.7
BU00140602,00140602,Klein Martijn,Groningen,Buurt,BU00140602,1,615,305,310,285,75,135,80,2,2323,291,560,79,21,99,1,89,11,0,11,0,100,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,75,0,0,5,5,15,25,20,10,330,245,85,1,1250,15,26,26,0,9722,1,3,1496,-99999,1.7,1.7,1.7,522.7
BU00140603,00140603,Villabuurt,Groningen,Buurt,BU00140603,1,975,470,505,440,150,165,120,2,1502,439,724,72,28,95,5,94,6,0,6,0,97,3,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,170,0,5,10,5,30,60,55,5,590,415,175,1,907,20,65,65,0,9722,5,2,2170,-99999,2.1,2.1,2.4,747.7
BU00140604,00140604,Helpman,Groningen,Buurt,BU00140604,1,6010,2980,3030,3880,2490,845,545,2,10245,3382,283,17,83,95,5,50,50,20,30,0,92,8,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,810,5,50,105,55,50,220,180,150,2120,1695,425,1,3610,155,59,59,1,9722,5,1,3376,28.6,9.9,14.5,16.5,20.5
BU00140605,00140605,De Wijert,Groningen,Buurt,BU00140605,1,4735,2355,2380,2970,1875,575,520,2,8037,2829,230,15,85,93,7,29,71,43,28,0,89,11,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,380,0,40,65,45,10,70,85,65,1545,1290,255,1,2624,105,60,59,1,9721,1,1,3542,24.9,14.3,20.5,24.4,6.8
BU00140606,00140606,De Wijert-Zuid,Groningen,Buurt,BU00140606,1,3435,1665,1770,1525,545,435,545,2,3715,1524,438,69,31,96,4,84,16,7,9,0,83,17,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,345,5,15,20,25,35,110,105,35,1460,1095,365,1,1578,60,92,92,0,9721,1,2,2246,-99999,3.6,4.9,6.4,262.1
BU00140700,00140700,Corpus den Hoorn,Groningen,Buurt,BU00140700,1,4450,2165,2285,2800,1780,600,420,2,4075,2820,245,17,83,93,7,29,71,53,18,0,78,22,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,485,0,20,65,40,20,110,140,95,1540,1305,235,1,1408,105,114,109,4,9728,1,1,2769,25.8,12.9,18.9,23.2,12.9
BU00140701,00140701,Hoornse Meer,Groningen,Buurt,BU00140701,1,4255,2090,2165,2430,1360,610,465,2,4352,2507,308,35,65,96,4,40,60,36,24,0,94,6,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,440,0,20,35,50,25,140,100,70,1765,1455,310,1,1803,100,120,98,22,9728,1,2,1986,-99999,7.9,11.7,15.1,46.8
BU00140702,00140702,Hoornse Park,Groningen,Buurt,BU00140702,1,740,370,370,305,60,135,105,2,2220,297,600,89,11,99,1,86,14,0,14,0,99,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,105,0,0,5,10,15,35,25,5,370,265,110,1,1116,20,33,33,0,9728,1,4,990,-99999,1,1.7,1.7,500
BU00140703,00140703,Van Swieten,Groningen,Buurt,BU00140703,1,50,50,0,45,40,5,0,1,130,36,34,0,100,97,3,0,100,0,100,0,100,0,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,210,0,10,15,20,25,60,65,15,160,120,40,-99999,-99999,0,37,37,0,9728,1,3,1390,-99999,-99999,-99999,-99999,-99999
BU00140704,00140704,Piccardthof,Groningen,Buurt,BU00140704,1,1205,605,605,435,60,155,220,3,1355,436,706,88,12,98,2,98,1,0,1,0,3,97,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,170,0,5,15,15,25,70,35,5,580,400,180,1,651,30,118,89,29,9728,1,4,542,-99999,1.2,1.2,1.4,520.9
BU00140705,00140705,Bruilweering,Groningen,Buurt,BU00140705,1,35,25,15,20,15,0,5,2,268,2,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,10,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,15,15,0,-99999,-99999,0,13,13,0,9728,4,5,345,-99999,-99999,-99999,-99999,-99999
BU00140800,00140800,Hoogkerk Dorp,Groningen,Buurt,BU00140800,1,1765,890,880,880,370,250,265,2,1352,848,254,84,16,96,4,45,55,44,11,0,82,18,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,205,0,35,60,10,15,35,25,25,785,675,110,1,601,65,139,130,8,9745,1,4,707,-99999,9.7,16.6,21.9,19.6
BU00140801,00140801,Hoogkerk-Zuid,Groningen,Buurt,BU00140801,1,5190,2540,2650,2435,895,715,830,2,2365,2430,270,83,17,98,2,64,36,31,6,0,81,19,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,315,0,55,45,30,10,50,80,45,2245,1890,350,1,1022,150,250,220,30,9744,1,4,891,-99999,7.1,11.8,15.7,70.4
