wkt_geom,buurtcode,buurtnaam,wijkcode,gemeenteco,gemeentena,indelingsw,water,meestVoork,dekkingspe,omgevingsa,stedelijkh,bevolkings,aantalInwo,mannen,vrouwen,percentage,percenta_1,percenta_2,percenta_3,percenta_4,percenta_5,percenta_6,percenta_7,percenta_8,aantalHuis,percenta_9,percenta10,percenta11,gemiddelde,percenta12,percenta13,percenta14,percenta15,percGebInN,percGebI_1,percGebBui,percGebB_1,oppervlakt,oppervla_1,oppervla_2,jrstatcode,jaar,fuuid
"MultiPolygon (((5.10690783599203257 51.56549959019774576, 5.10831726525929231 51.56329478312351711, 5.10318111931899576 51.561897406959595, 5.10145127644691154 51.56421147212435585, 5.10690783599203257 51.56549959019774576, 5.10690783599203257 51.56549959019774576)))",BU08552906,Ind.terrein Kanaalzone Zuid,WK085529,GM0855,Tilburg,1,NEE,5013,1,2249,2,-99999999,10,0,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,5,-99999999,-99999999,-99999999,1,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,12,12,0,2023BU08552906,2023,buurten.3c96f3ad-5921-4def-950d-1ac06fe8ef95
"MultiPolygon (((5.10899946088419199 51.56222754157661825, 5.10355370580265078 51.56123035609150662, 5.10831726525929231 51.56329478312351711, 5.10899946088419199 51.56222754157661825, 5.10899946088419199 51.56222754157661825)))",BU08552907,Kanaalzone Bosscheweg,WK085529,GM0855,Tilburg,1,NEE,5013,1,2163,2,3771,135,80,60,6,6,47,23,18,66,25,5,4,100,74,20,6,1.4,72,17,11,72,3,6,14,5,4,4,0,2023BU08552907,2023,buurten.f753cea1-cc1c-4ea9-80aa-3322b3f58b68
"MultiPolygon (((5.12663993685828867 51.56650336826331937, 5.12902024459515715 51.55971722948763869, 5.12422905016446961 51.55768871204640647, 5.12176381556516347 51.55431317435534311, 5.12438445448877555 51.55161535447948751, 5.11820345392395915 51.54688601515785962, 5.10899946088419199 51.56222754157661825, 5.12663993685828867 51.56650336826331937, 5.12663993685828867 51.56650336826331937)))",BU08553001,Moerenburg,WK085530,GM0855,Tilburg,1,NEE,5018,1,950,4,38,55,30,25,15,13,15,38,19,45,43,2,9,25,36,32,32,2.1,83,17,0,83,4,0,13,0,154,140,14,2023BU08553001,2023,buurten.7a048ffa-85a0-49ba-8181-f864ed897a94
"MultiPolygon (((5.10998876291891602 51.55146283235472993, 5.11076473765168338 51.54821359137920211, 5.1045999870933576 51.54231783659661659, 5.10126061903585359 51.54177322860179089, 5.09982661799185522 51.54689249252556493, 5.10998876291891602 51.55146283235472993, 5.10998876291891602 51.55146283235472993)))",BU08553101,Leijpark,WK085531,GM0855,Tilburg,1,NEE,5022,1,1622,2,348,140,75,70,1,1,6,20,71,17,58,12,13,85,42,51,7,1.7,88,9,3,88,5,2,4,1,40,40,0,2023BU08553101,2023,buurten.e99c2d91-f8c8-4394-984e-b12953bd8ee7
"MultiPolygon (((5.1146455651927587 51.55267937338301465, 5.11879947923708212 51.54591897465773087, 5.11348655824635667 51.54234964939814034, 5.10985812670549944 51.55156825605461535, 5.1146455651927587 51.55267937338301465, 5.1146455651927587 51.55267937338301465)))",BU08553102,Koningshoeven,WK085531,GM0855,Tilburg,1,NEE,5018,1,936,4,268,100,50,50,10,17,20,36,17,53,37,5,5,45,30,30,41,2.3,88,4,8,88,2,6,2,2,40,38,2,2023BU08553102,2023,buurten.d1ef9d87-b43e-4d39-bbc7-90029f6ed519
"MultiPolygon (((5.10644064613240456 51.5433879396700263, 5.10760848662931011 51.54108625344495209, 5.10456019706439701 51.53810827927150484, 5.09934847313802564 51.53959065547790885, 5.10319512612816784 51.54312184743470482, 5.10644064613240456 51.5433879396700263, 5.10644064613240456 51.5433879396700263)))",BU08553103,Elisabethziekenhuis,WK085531,GM0855,Tilburg,1,NEE,5022,1,1256,3,-99999999,0,5,5,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,0,-99999999,-99999999,-99999999,3,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,-99999999,22,22,0,2023BU08553103,2023,buurten.bfff899c-e404-458c-99aa-249f17f62b1e
"MultiPolygon (((5.11077558598734871 51.54782372526040746, 5.11348655824635667 51.54234964939814034, 5.11252094626349418 51.54002326877534301, 5.10609689585673721 51.53742697848539933, 5.10639720269790587 51.54351318214985866, 5.11077558598734871 51.54782372526040746, 5.11077558598734871 51.54782372526040746)))",BU08553104,Leijhoeven,WK085531,GM0855,Tilburg,1,NEE,5022,1,1040,3,1035,340,125,220,0,0,0,3,96,5,45,8,42,265,72,27,2,1.3,87,8,5,87,5,2,3,3,33,33,0,2023BU08553104,2023,buurten.1df369b6-5a28-4b93-8791-640ef024874e
"MultiPolygon (((5.09416616615157203 51.54427193788890094, 5.09010687142726681 51.53942105494757442, 5.08265019719926237 51.54064350698286745, 5.08301710745892255 51.54360093324277869, 5.09416616615157203 51.54427193788890094, 5.09416616615157203 51.54427193788890094)))",BU08553201,Ezelvense Akkers,WK085532,GM0855,Tilburg,1,NEE,5022,1,2630,1,4075,1040,510,530,13,12,19,31,25,42,42,9,7,485,34,34,32,2.1,68,10,21,68,5,11,6,11,25,25,0,2023BU08553201,2023,buurten.7b2fd299-0907-46db-9f84-1dde195c54f3
"MultiPolygon (((5.09583480309293257 51.54224562397909182, 5.09127478986069804 51.53980298836189888, 5.0906212625687326 51.54196980236491754, 5.09583480309293257 51.54224562397909182, 5.09583480309293257 51.54224562397909182)))",BU08553202,Landbouwbuurt,WK085532,GM0855,Tilburg,1,NEE,5022,1,2264,2,10762,935,445,490,20,15,29,24,12,63,22,12,3,435,39,15,46,2.2,49,12,38,49,4,18,8,20,9,9,0,2023BU08553202,2023,buurten.e52f19de-5a68-4a53-acb4-c1b28565971f
"MultiPolygon (((5.09981822598730883 51.54666473529874082, 5.0987521862204721 51.54076936099990291, 5.09416130617102247 51.54427893686221296, 5.09981822598730883 51.54666473529874082, 5.09981822598730883 51.54666473529874082)))",BU08553203,Vogeltjesbuurt West,WK085532,GM0855,Tilburg,1,NEE,5022,1,2663,1,9099,1230,625,605,15,18,30,27,10,64,25,8,3,620,47,24,30,2,62,16,23,62,4,11,11,12,14,14,0,2023BU08553203,2023,buurten.95e2cad8-7a4a-4485-ab0f-1c30a859a6c4
