scenario,iteration,year,heating_system,ownership,installed_cumulative,installed_current,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,removed_this_year
1,baseline,1,2033,NATURAL_GAS_BOILER,PRIVATELY_OWNED,137072,11275,8613,229261,0.0,0.5632632788979569,0.8743145162786821,1481.15866962306,0.7356056038121019
1,baseline,1,2034,NATURAL_GAS_BOILER,PRIVATELY_OWNED,139534,12679,10217,241940,0.0,0.5680357905469869,0.8917760944756518,1409.1316349869865,0.7405816740110152
1,baseline,1,2035,NATURAL_GAS_BOILER,PRIVATELY_OWNED,141906,11323,8951,253263,0.0,0.5678271298218965,0.9081403293866588,1448.975183255321,0.7382231535595075
1,baseline,1,2036,NATURAL_GAS_BOILER,PRIVATELY_OWNED,143354,20910,19462,274173,0.0,0.572633328277432,0.9231269907970253,1490.8844093735056,0.743559118566517
1,baseline,1,2037,NATURAL_GAS_BOILER,PRIVATELY_OWNED,145159,12474,10669,286647,0.0,0.5723127977323993,0.9333944795151989,1440.6593714927048,0.7417948866591976
1,baseline,1,2038,NATURAL_GAS_BOILER,PRIVATELY_OWNED,146348,11451,10262,298098,0.0,0.5735575558482561,0.9449163944855319,1481.083922801502,0.742221784461689
1,baseline,1,2039,NATURAL_GAS_BOILER,PRIVATELY_OWNED,146973,10974,10349,309072,0.0,0.5753950171225333,0.9520158051808054,1492.9697466739567,0.7440905500362008
1,baseline,1,2040,NATURAL_GAS_BOILER,PRIVATELY_OWNED,147416,11273,10830,320345,0.0,0.5762917256923594,0.9564939738572491,1495.4074336911203,0.7448758418063807
1,baseline,1,2041,NATURAL_GAS_BOILER,PRIVATELY_OWNED,147767,10956,10605,331301,0.0,0.5770081086875305,0.9591501545160857,1485.9158451989776,0.7456183937167862
1,baseline,1,2042,NATURAL_GAS_BOILER,PRIVATELY_OWNED,148052,11637,11352,342938,0.0,0.577896018768228,0.9612402605194341,1468.5782418149008,0.7466889955874098
1,baseline,1,2043,NATURAL_GAS_BOILER,PRIVATELY_OWNED,148406,11741,11387,354679,0.0,0.5774159889540906,0.9636645194135188,1481.720126053999,0.7456659185044451
1,baseline,1,2044,NATURAL_GAS_BOILER,PRIVATELY_OWNED,148702,12009,11713,366688,0.0,0.577980922084658,0.9655283100983104,1473.2309101507203,0.7462803443646927
1,baseline,1,2045,NATURAL_GAS_BOILER,PRIVATELY_OWNED,148961,11534,11275,378222,0.0,0.5780960770494251,0.9675530470128888,1477.9847407664297,0.746199984697521
1,baseline,1,2046,NATURAL_GAS_BOILER,PRIVATELY_OWNED,149280,12998,12679,391220,0.0,0.5790723888965691,0.9690516672611257,1408.4210647791967,0.7474771249372083
1,baseline,1,2047,NATURAL_GAS_BOILER,PRIVATELY_OWNED,149526,11569,11323,402789,0.0,0.5783739782587876,0.9715528198967903,1446.6750799550523,0.7461168649010836
1,baseline,1,2048,NATURAL_GAS_BOILER,PRIVATELY_OWNED,149893,21277,20910,424066,0.0,0.5775555620633029,0.9727857047990527,1486.3923485453777,0.7447351299950741
1,baseline,1,2049,NATURAL_GAS_BOILER,PRIVATELY_OWNED,150447,13028,12474,437094,0.0,0.5785865259325566,0.9755778339403421,1424.6215075222597,0.7459325596562897
1,baseline,1,2050,NATURAL_GAS_BOILER,PRIVATELY_OWNED,150746,11750,11451,448844,0.0,0.5780817795178131,0.9792678831055807,1476.6302127659574,0.7447141838885193
1,baseline,1,2023,NATURAL_GAS_BOILER,SOCIAL_HOUSING,60815,60815,0,60815,0.0,0.0,0.0,0.0,0.0
1,baseline,1,2024,NATURAL_GAS_BOILER,SOCIAL_HOUSING,60998,355,172,61170,0.0,0.0,0.0,1217.3239436619717,0.0
1,baseline,1,2025,NATURAL_GAS_BOILER,SOCIAL_HOUSING,61089,239,148,61409,0.0,0.0,0.0,1383.5355648535565,0.0
1,baseline,1,2026,NATURAL_GAS_BOILER,SOCIAL_HOUSING,61254,406,241,61815,0.0,0.0,0.0,1279.1379310344828,0.0
1,baseline,1,2027,NATURAL_GAS_BOILER,SOCIAL_HOUSING,61885,2479,1848,64294,0.0,0.0,0.0,1342.2747075433642,0.0
1,baseline,1,2028,NATURAL_GAS_BOILER,SOCIAL_HOUSING,62951,3571,2505,67865,0.0,0.0,0.0,1186.1781013721647,0.0
1,baseline,1,2029,NATURAL_GAS_BOILER,SOCIAL_HOUSING,63500,3279,2730,71144,0.0,0.0,0.0,1335.8639829216224,0.0
1,baseline,1,2030,NATURAL_GAS_BOILER,SOCIAL_HOUSING,64086,5005,4419,76149,0.0,0.0,0.0,1286.9036963036963,0.0
1,baseline,1,2031,NATURAL_GAS_BOILER,SOCIAL_HOUSING,63974,8192,8304,84341,0.0,0.0,0.0,1286.3118896484375,0.0
