scenario,scenario_name,iteration,year,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2023,NATURAL_GAS_BOILER,TOTAL,63722,63722,0,63722,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,NATURAL_GAS_BOILER,TOTAL,64450,7061,6333,70783,0.0,0.4630422434915805,0.6926790894086506,1658.1511117405466,0.6079784790612911,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,TOTAL,65102,4408,3756,75191,0.0,0.4641299609162235,0.7019543142413128,1603.7456896551723,0.6084506520941699,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,TOTAL,65592,4309,3819,79500,0.0,0.46309378887276376,0.7112305031341374,1649.0320259921095,0.6057368704173816,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,TOTAL,66086,4452,3958,83952,0.0,0.42791720527847643,0.6638216628463065,1632.3632075471698,0.5588981000619282,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,TOTAL,66537,4508,4057,88460,0.0,0.4437757793267954,0.6937603846545181,1616.279946761313,0.5789436209083779,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,TOTAL,66937,4591,4191,93051,0.0,0.4011283847242776,0.6344852997172158,1583.1590067523416,0.5223819146217656,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,TOTAL,67280,5013,4670,98064,0.0,0.42183075230625955,0.6711741523159988,1572.2403750249352,0.5488493594198923,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,TOTAL,67592,5528,5216,103592,0.0,0.363348774082566,0.5850467755490328,1553.4113603473227,0.47189231418021976,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,TOTAL,67495,7828,7925,111420,0.0,0.2562504149729271,0.41666243388447116,1478.5393459376596,0.3322928182238322,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,TOTAL,67763,7456,7188,118876,0.0,0.29303444018798835,0.48019548412826707,1469.9039699570815,0.3795272247659515,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,NATURAL_GAS_BOILER,TOTAL,67934,5366,5195,124242,0.0,0.4070727344122492,0.6739944658451786,1531.6248602310845,0.5263597933877248,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,NATURAL_GAS_BOILER,TOTAL,68355,5406,4985,129648,0.0,0.4309759709620561,0.7217116038940808,1491.3168701442842,0.5562500059563256,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,NATURAL_GAS_BOILER,TOTAL,68390,8564,8529,138212,0.0,0.47028477046198225,0.7979430565255232,1631.3018449322747,0.6056842736272794,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,NATURAL_GAS_BOILER,TOTAL,68583,4870,4677,143082,0.0,0.4761120004639592,0.8116946285026005,1568.194250513347,0.6127061721331151,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,NATURAL_GAS_BOILER,TOTAL,68808,4734,4509,147816,0.0,0.4727857886176466,0.8135714370079239,1610.3027038445289,0.6074822533004777,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,NATURAL_GAS_BOILER,TOTAL,68741,4190,4257,152006,0.0,0.48046005849705414,0.831157326720971,1635.080906921241,0.6167954219054615,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,NATURAL_GAS_BOILER,TOTAL,68529,4061,4273,156067,0.0,0.5037097458086379,0.8707744696578973,1630.799803004186,0.646717810005719,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,NATURAL_GAS_BOILER,TOTAL,68342,3910,4097,159977,0.0,0.48094723938480544,0.8320086049970494,1620.3897698209719,0.6174197834525796,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,NATURAL_GAS_BOILER,TOTAL,67982,4466,4826,164443,0.0,0.4845184241400991,0.8363418117303247,1584.460591133005,0.6222349097438618,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,NATURAL_GAS_BOILER,TOTAL,67748,4367,4601,168810,0.0,0.4689346723332928,0.810895372397523,1583.3773757728418,0.6020400869502478,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,NATURAL_GAS_BOILER,TOTAL,67486,4570,4832,173380,0.0,0.44744453323215194,0.7754039029520533,1588.6763676148796,0.5742413119792239,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,NATURAL_GAS_BOILER,TOTAL,67247,4883,5122,178263,0.0,0.455688381921662,0.7867947491794971,1541.0866270735203,0.5851832292350561,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,NATURAL_GAS_BOILER,TOTAL,66738,5089,5598,183352,0.0,0.43596837522859405,0.7519268710005055,1526.898408331696,0.5599617039678293,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,NATURAL_GAS_BOILER,TOTAL,65237,6769,8270,190121,0.0,0.34407157748946826,0.6013811596898662,1409.2818732456788,0.44093472127296995,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,NATURAL_GAS_BOILER,TOTAL,63920,9694,11011,199815,0.0,0.4116505013676908,0.7263830579627122,1576.7684134516196,0.5266778698061999,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
