scenario,scenario_name,iteration,dwelling_id,type,ownership,construction_year,adoption_year,hs_nb,old_hs,old_hs_age,trigger,adopted_hs,hs_in_ranking,hs_rank,hs_utility,hs_EAC,hs_PBC,hs_SN,hs_att
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2024,1,NATURAL_GAS_BOILER,4,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2032,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.0,1484.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2032,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,2,0.0,1668.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2032,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,3,0.0,1918.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2032,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,4,0.0,1920.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2032,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,5,0.0,2115.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2047,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.0,1484.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2047,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,2,0.0,1668.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2047,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,3,0.0,1918.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2047,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,4,0.0,1920.0,0.0,0.0,0.0
1,baseline,1,0,SEMIDETACHED,PRIVATELY_RENTED,1982,2047,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,5,0.0,2115.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2024,1,NATURAL_GAS_BOILER,8,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2028,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.0,2532.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2028,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,2,0.0,2698.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2028,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,3,0.0,2699.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2028,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,4,0.0,3091.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2028,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,5,0.0,3373.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2043,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.0,2532.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2043,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,2,0.0,2698.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2043,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,3,0.0,2699.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2043,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,4,0.0,3091.0,0.0,0.0,0.0
1,baseline,1,200,SEMIDETACHED,PRIVATELY_RENTED,1986,2043,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,5,0.0,3373.0,0.0,0.0,0.0
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2024,1,NATURAL_GAS_BOILER,1,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2035,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.7117167240202535,3210.0,0.6396584719564258,0.9104280636021442,0.8012383926936743
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2035,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,2,0.5637174693950016,3124.0,0.6267085104676345,0.17670916719314533,0.6987616073063257
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2035,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,3,0.5083201722738684,4088.0,0.5808283394548617,0.055692137034875765,0.6987616073063257
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2035,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,4,0.4666981546109308,3499.0,0.6117280285035629,0.3090304126900142,0.19876160730632575
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2035,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.41596448353573545,3500.0,0.5742563234770217,0.0,0.19876160730632575
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2050,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.786369515586645,2741.0,0.729244675206549,1.0,0.8012383926936743
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2050,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,2,0.5776760100422988,2702.0,0.668607107908549,0.09286602131327149,0.6987616073063257
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2050,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,3,0.5082836871630223,4087.0,0.5808283394548617,0.05525431570472314,0.6987616073063257
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2050,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,4,0.41596448353573545,3500.0,0.5742563234770217,0.0,0.19876160730632575
1,baseline,1,1,DETACHED,PRIVATELY_OWNED,1980,2050,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,5,0.41594562022009623,3498.0,0.5742280285035629,0.0,0.19876160730632575
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2024,1,NATURAL_GAS_BOILER,9,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2027,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BOILER,1,0.6650565501491361,2333.0,0.7004222671583205,1.0,0.6886502322615353
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2027,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,HYBRID_HEAT_PUMP,2,0.5847840941161476,2249.0,0.6743386992396052,0.0,0.8113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2027,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,DISTRICT_HEATING,3,0.5825778834829218,2636.0,0.6710293832897666,0.0,0.8113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2027,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BLOCK,4,0.5670173750585461,2334.0,0.6628657231208374,0.12398225121278303,0.6886502322615353
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2027,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,ELECTRIC_HEAT_PUMP,5,0.5129197017683654,2487.0,0.6749151496451712,0.06650784429104302,0.3113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2039,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BOILER,1,0.6517550458825708,2332.0,0.6804700107584724,1.0,0.6886502322615353
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2039,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,HYBRID_HEAT_PUMP,2,0.6395601466992482,1784.0,0.7257754816260714,0.12290918595273878,0.8113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2039,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,DISTRICT_HEATING,3,0.5697879526958513,2629.0,0.6518444871091607,0.0,0.8113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2039,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,ELECTRIC_HEAT_PUMP,4,0.547589224364655,1914.0,0.7296267974894732,0.05567838849157189,0.3113497677384647
1,baseline,1,3,DETACHED,PRIVATELY_OWNED,1993,2039,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BLOCK,5,0.5433808833608766,2334.0,0.6429087669759311,0.0,0.6886502322615353
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2024,1,NATURAL_GAS_BOILER,3,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2033,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.5965204003384174,5316.0,0.5164314516129032,0.6270324226607622,0.8863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2033,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,2,0.5264636963234969,4452.0,0.5599149594124467,0.06551633474613056,0.8863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2033,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,3,0.5122865885241972,3789.0,0.5911976012350076,0.6451299065740467,0.3863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2033,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,4,0.49953223573903527,4711.0,0.5626605645719559,0.13291532906451695,0.6136358270818709
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2033,2,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.43346779509457045,3791.0,0.5536106494123234,0.0,0.3863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2048,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.7155436943715276,4885.0,0.6017244983277592,1.0,0.8863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2048,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,2,0.5374864975843647,4227.0,0.6133950543780265,0.15770294091221096,0.6136358270818709
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2048,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,3,0.5266494180736855,4449.0,0.560275198297543,0.06486308466762344,0.8863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2048,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,4,0.4337579101145097,3788.0,0.5540458219422323,0.0,0.3863641729181291
1,baseline,1,2,TERRACED,PRIVATELY_OWNED,1709,2048,3,HYBRID_HEAT_PUMP,15,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.43369983194902073,3791.0,0.5539587046939988,0.0,0.3863641729181291
1,baseline,1,5,TERRACED,PRIVATELY_OWNED,1957,2024,1,NATURAL_GAS_BOILER,11,initialization,NONE,NONE,0,0,0,0,0,0
