scenario,scenario_name,iteration,year,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,NATURAL_GAS_BOILER,TOTAL,211360,211360,0,211360,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,TOTAL,125895,283,85748,211643,0.28354483851176615,0.622016771251629,0.6761997765380973,1493.637310148661,0.7348407488315862,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,TOTAL,114776,191,11310,211834,0.2860850577241873,0.6192743439338325,0.6012897012441017,1494.098090849243,0.7303374393370471,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,TOTAL,103681,159,11254,211993,0.2843782966738707,0.621111249092974,0.546723406007954,1497.4456793553766,0.7333555665660103,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,TOTAL,92245,126,11562,212119,0.28519625885200095,0.630964567856905,0.4896422355970005,1489.8322307488754,0.7462206708585434,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,TOTAL,81035,194,11404,212313,0.28389734334130345,0.6117874025478446,0.43393920715091777,1500.0137519225552,0.7210840889500284,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,TOTAL,69308,145,11872,212458,0.2860402632642626,0.616280962324471,0.3773417639004563,1491.1317869863608,0.7263611953445418,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,TOTAL,57576,228,11960,212686,0.2873881055195264,0.6186912299226021,0.3207191734988824,1471.229486544494,0.7291256047236285,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,TOTAL,45879,236,11933,212922,0.28370071223207727,0.6127532293871862,0.2607573740175975,1472.4871727480192,0.7224374017722245,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,TOTAL,34519,126,11486,213048,0.28104246426657803,0.6073775896597544,0.2030596916552186,1452.803459855826,0.7161559647908138,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
