scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,211360,211360,0,211360,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.38738738738738737,NATURAL_GAS_BOILER,TOTAL,199788,17678,29250,229038,0.034527452089002354,0.06767073915066031,0.031693501663536905,181.38093896338682,0.08891255799579828,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.38738738738738737,NATURAL_GAS_BOILER,TOTAL,191942,8057,15903,237095,0.009948049077174516,0.01879404968954383,0.002411578165054866,52.47077137266819,0.025402614994390206,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.38738738738738737,NATURAL_GAS_BOILER,TOTAL,185052,9237,16127,246332,0.009329827549478554,0.017585073684309362,0.004676106729339838,49.13906537518404,0.023460640297927177,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.38738738738738737,NATURAL_GAS_BOILER,TOTAL,176798,6756,15010,253088,0.01905551501025597,0.036445071610735874,0.00816990880179157,98.74360607541485,0.04888249006331571,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.38738738738738737,NATURAL_GAS_BOILER,TOTAL,168997,6673,14474,259761,0.011140432113652225,0.021549715457427197,0.00522720375541849,58.34835018112938,0.02888606468830054,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,163113,15922,21806,275683,0.003066193331141186,0.005762562751052571,0.0012981463312690892,15.858586403125651,0.0077150275023849125,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,155153,6331,14291,282014,0.004536448506370389,0.008404541004549484,8.113301766243243E-4,23.2778521920892,0.011371283108153657,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,150040,13060,18173,295074,0.0032637087690858403,0.0063499449238715484,0.0010925981879692768,17.079610024029684,0.008572415420039713,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,141686,8217,16571,303291,0.0033594758895125593,0.00627239077801512,5.493462814249473E-4,17.28698918072363,0.008500048909466448,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,131216,10446,20916,313737,0.0036570309625054247,0.007047131398102956,6.543875165985713E-4,18.209324487732683,0.009574640916953269,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,123049,8090,16257,321827,0.0036974982315613482,0.006943068794227592,3.503959624305441E-4,18.856685073654493,0.00944642913814721,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,116653,6186,12582,328013,0.003634542128153821,0.006883622861179315,2.0698787069589733E-4,18.91903902329122,0.0093909252758935,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,114744,15769,17678,343782,0.002983638954000833,0.0043263548658440424,1.8052324626843209E-4,11.561963089888309,0.005721057154482279,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,115993,9306,8057,353088,0.002890332339452949,0.00444396615738387,8.375065840021548E-5,11.712551508098572,0.005932897318912547,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,117099,10343,9237,363431,0.0024277939614052424,0.003308392368413062,1.29391428534345E-4,9.044164309051203,0.004339466133701494,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,0.0,0.8648648648648649,NATURAL_GAS_BOILER,TOTAL,116843,6500,6756,369931,0.0027197355304215682,0.005536397014729698,2.7457469796522138E-5,16.462828315161214,0.007621229455764516,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
