scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc, nbh_with_dh_perc, heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2024,0.0030077341735892296,0.0030077341735892296,NATURAL_GAS_BOILER,TOTAL,6874894,6874894,0,6874894,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.006659982812947579,0.006659982812947579,NATURAL_GAS_BOILER,TOTAL,4819775,10306,2065425,6885200,0.2859219763108233,0.6203831434728088,0.766930410660687,1771.676719871054,0.731870199193484,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.010813520481237468,0.010813520481237468,NATURAL_GAS_BOILER,TOTAL,4385153,5771,440393,6890971,0.28528918597770997,0.6228275281347874,0.6808631688755152,1769.647268847016,0.7353403088538263,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.01518189630478373,0.01518189630478373,NATURAL_GAS_BOILER,TOTAL,3951035,6183,440301,6897154,0.28533164135558214,0.622268442876447,0.6164476240292643,1761.0912489915638,0.7345807100500389,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.01990833572042395,0.01990833572042395,NATURAL_GAS_BOILER,TOTAL,3511148,6098,445985,6903252,0.2856992265504345,0.6247102370486672,0.552787420522605,1758.4680289923276,0.737713907214756,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.02499283872815812,0.02499283872815812,NATURAL_GAS_BOILER,TOTAL,3071795,6546,445899,6909798,0.28603154925688634,0.6276121581104142,0.4880641228937348,1758.258921460921,0.741472361061572,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.030578630764823832,0.030578630764823832,NATURAL_GAS_BOILER,TOTAL,2630364,6506,447937,6916304,0.2851207805267615,0.6293207297001995,0.42320345934819703,1751.9346488107828,0.7440540460913729,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.036379260956745915,0.036379260956745915,NATURAL_GAS_BOILER,TOTAL,2185320,5879,450923,6922183,0.28536667081042477,0.6222643518475477,0.35763189518237465,1744.625334136134,0.7345635788599295,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.042466342022343166,0.042466342022343166,NATURAL_GAS_BOILER,TOTAL,1738424,5021,451917,6927204,0.28566323869155763,0.615204376703967,0.29326427329791227,1746.4797510079954,0.7250514227080738,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.04919793755370954,0.04919793755370954,NATURAL_GAS_BOILER,TOTAL,1295017,5488,448895,6932692,0.28450208034645097,0.6198089517833683,0.22719908891485568,1735.2422385840352,0.7315779089290003,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
