scenario,scenario_name,iteration,dwelling_id,type,ownership,construction_year,adoption_year,hs_nb,old_hs,old_hs_age,trigger,adopted_hs,hs_in_ranking,hs_rank,hs_utility,hs_EAC,hs_PBC,hs_SN,hs_att
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2024,1,NATURAL_GAS_BOILER,10,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2026,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.736938177696842,1499.0,0.7119830641985033,0.16666666666666666,0.8118035181918577
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2026,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,2,0.6870302544869289,1322.0,0.6866415120465245,0.041666666666666664,0.6881964818081423
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2026,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,3,0.6248900295429447,1241.0,0.7704545454545455,0.625,0.1881964818081423
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2026,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,4,0.0,1242.0,0.0,0.0,0.0
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2026,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,5,0.0,1358.0,0.0,0.0,0.0
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2041,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.799450732791287,993.0,0.7953331376577634,0.2916666666666667,0.8118035181918577
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2041,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,2,0.7372494961564815,880.0,0.7536005009392611,0.20833333333333334,0.6881964818081423
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2041,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,3,0.7194013899353355,1340.0,0.7298030259777334,0.5,0.6881964818081423
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2041,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,4,0.5901939133874802,1240.0,0.7241930572472595,0.0,0.1881964818081423
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2041,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.0,1241.0,0.0,0.0,0.0
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2024,1,NATURAL_GAS_BOILER,3,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2033,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.7097386281429855,1599.0,0.6885659323284494,0.30434782608695654,0.7732567155865937
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2033,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,2,0.705543962765662,1648.0,0.6984775222164139,0.34782608695652173,0.7267432844134063
