scenario,scenario_name,iteration,year,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2023,NATURAL_GAS_BOILER,TOTAL,9522,9522,0,9522,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,NATURAL_GAS_BOILER,TOTAL,9593,1179,1108,10701,0.0,0.0,0.0,3850.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,TOTAL,9663,720,650,11421,0.0,0.0,0.0,3803.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,TOTAL,9707,643,599,12064,0.0,0.0,0.0,5906.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,TOTAL,9761,704,650,12768,0.0,0.0,0.0,5783.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,TOTAL,9796,700,665,13468,0.0,0.0,0.0,3863.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,TOTAL,9846,694,644,14162,0.0,0.0,0.0,5821.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,TOTAL,9869,797,774,14959,0.0,0.0,0.0,5755.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,TOTAL,9889,777,757,15736,0.0,0.0,0.0,5487.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,TOTAL,9838,835,886,16571,0.0,0.0,0.0,5269.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,TOTAL,9869,930,899,17501,0.0,0.0,0.0,5211.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,NATURAL_GAS_BOILER,TOTAL,9868,830,831,18331,0.0,0.0,0.0,5392.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,NATURAL_GAS_BOILER,TOTAL,9899,765,734,19096,0.0,0.0,0.0,5443.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,NATURAL_GAS_BOILER,TOTAL,9911,1437,1425,20533,0.0,0.0,0.0,5442.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,NATURAL_GAS_BOILER,TOTAL,9926,796,781,21329,0.0,0.0,0.0,5447.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2038,NATURAL_GAS_BOILER,TOTAL,9955,678,649,22007,0.0,0.0,0.0,3626.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2039,NATURAL_GAS_BOILER,TOTAL,9956,696,695,22703,0.0,0.0,0.0,5362.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2040,NATURAL_GAS_BOILER,TOTAL,9945,689,700,23392,0.0,0.0,0.0,3742.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2041,NATURAL_GAS_BOILER,TOTAL,9933,662,674,24054,0.0,0.0,0.0,3919.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2042,NATURAL_GAS_BOILER,TOTAL,9906,736,763,24790,0.0,0.0,1.0,5983.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2043,NATURAL_GAS_BOILER,TOTAL,9894,719,731,25509,0.0,0.0,1.0,3646.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,NATURAL_GAS_BOILER,TOTAL,9871,728,751,26237,0.0,0.0,1.0,5234.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,NATURAL_GAS_BOILER,TOTAL,9828,775,818,27012,0.0,0.0,1.0,5396.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,NATURAL_GAS_BOILER,TOTAL,9784,787,831,27799,0.0,0.0,1.0,5075.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,NATURAL_GAS_BOILER,TOTAL,9753,814,845,28613,0.0,0.0,1.0,4996.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,NATURAL_GAS_BOILER,TOTAL,9658,1490,1585,30103,0.0,0.0,1.0,5046.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,NATURAL_GAS_BOILER,TOTAL,9628,770,800,30873,0.0,0.0,1.0,5155.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,NATURAL_GAS_BOILER,TOTAL,9614,689,703,31562,0.0,0.0,1.0,5395.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2023,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7695,7695,0,7695,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7790,1076,981,8771,0.0,0.5525446005382197,0.8758768758861635,2247.120817843866,0.7193322913215598,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7865,667,592,9438,0.0,0.5531071479695489,0.8883886901935409,2235.2278860569713,0.7186121356801305,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7916,577,526,10015,0.0,0.5560712735416673,0.900178164550879,2192.05719237435,0.721584639743643,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7977,629,568,10644,0.0,0.5560068105337298,0.9045465106117782,2197.2575516693164,0.7209419019741229,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8041,648,584,11292,0.0,0.5543698187824733,0.9065810725148,2261.182098765432,0.7182320941093586,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8111,619,549,11911,0.0,0.555009432486145,0.9175433187764381,2253.7382875605817,0.7178212338821626,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8179,682,614,12593,0.0,0.5555728281687976,0.9212940793179479,2260.8782991202347,0.7181974823384527,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8249,677,607,13270,0.0,0.5574874437954134,0.9338820541622668,2215.3604135893647,0.7194959089228362,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8320,684,613,13954,0.0,0.557096116909594,0.9365009934417963,2211.7660818713452,0.7185815511841644,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8411,714,623,14668,0.0,0.5578029988293544,0.949637795075971,2197.063025210084,0.7179997738595354,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8509,736,638,15404,0.0,0.5573737907047758,0.9573351868308744,2229.3940217391305,0.716393787703305,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8582,691,618,16095,0.0,0.5600843485242845,0.9697085513858997,2201.3994211287986,0.7189129538631887,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,NATURAL_GAS_BOILER,PRIVATELY_OWNED,8650,1326,1258,17421,0.0,0.5613920721991554,0.9775925694792071,2244.036953242836,0.7198890371138328,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
