scenario,scenario_name,iteration,year,nbh_in_grid_congestion_perc,nbh_with_dh_perc,heating_system,ownership,installed_current,installed_annually,removed_annually,installed_cumulative,avg_att,avg_util,avg_sub_norm,avg_eac,avg_pbc,SLF,ELF,GRR,DHCT,DHES,SHAES,DHCO,GCHPB
1,baseline,1,2043,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,112255,7095,6940,396174,0.0038009965921953787,0.008337577544404109,8.376484526122041E-5,21.514929521225607,0.0098497711951403,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2044,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,112689,8666,8232,404840,0.0026184355117941185,0.005706728712673225,6.182379419811894E-5,15.27453362392629,0.006736159779632903,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2045,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,113828,5319,4180,410159,0.003108746622729075,0.00895710780793359,9.670474777669823E-5,23.511481076454064,0.010906561536335044,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2046,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,114563,11192,10457,421351,0.001600073014465847,0.004454223413996225,4.8381829405253357E-5,12.065568584543652,0.005405606880506358,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2047,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,114633,3637,3567,424988,0.006154239523481881,0.015657634924957024,2.0338273029199143E-4,43.546664625488646,0.01882543339211545,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2048,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,114752,12147,12028,437135,0.0010395928647431833,0.0024989106805018055,2.799940003153901E-5,6.941507649546297,0.002985349952421351,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2049,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,114827,13275,13200,450410,0.0011452494735226893,0.0032109218307911215,3.3458288873164834E-5,7.999615871283096,0.0038994792832139544,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2050,0.0,0.0,NATURAL_GAS_BOILER,TOTAL,114958,10900,10769,461310,0.0016171489442792022,0.0039814254743137,4.491167502397947E-5,10.487709030100335,0.004769517650991872,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2024,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,111451,111451,0,111451,0.0,0.0,0.0,0.0,0.0,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2025,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,96718,206,14939,111657,0.2853247044112163,0.6131765246129378,0.6766968401905169,1497.8878051438535,0.7224604646801759,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2026,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,88159,186,8745,111843,0.28374106268893634,0.6172460714283627,0.6016463103416392,1498.7202810131262,0.72841440767484,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2027,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,79782,218,8595,112061,0.2848669460005052,0.6354347008339926,0.5462455746607352,1504.6012819304365,0.752290619111825,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2028,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,71167,231,8846,112292,0.28652546937824885,0.6119674462424045,0.48970013246497435,1487.0173663951302,0.7204481051971235,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2029,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,62513,168,8822,112460,0.2821686814234142,0.6183742966780459,0.43780022561104975,1497.216659282233,0.7304428350962575,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2030,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,53510,117,9120,112577,0.2867536908898333,0.6185522666870182,0.3773491892738807,1480.2439883201648,0.7291517919527509,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2031,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,44685,108,8933,112685,0.2865742146732017,0.6193650484909542,0.31947751601793944,1477.0158850226928,0.7302953264302032,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2032,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,35895,98,8888,112783,0.285094032211704,0.6115637768482937,0.2620528602980548,1480.4046233161484,0.7203870250604918,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2033,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,27007,88,8976,112871,0.2873862138683647,0.6222685250364131,0.20669192150555854,1471.514848181515,0.7338959620924325,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2034,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,16638,96,10465,112967,0.28527487271919405,0.627610819598499,0.14228725386224356,1412.7075570129678,0.7417228018916012,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2035,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,7739,108,9007,113075,0.2873706119011594,0.6155759538243275,0.07868475706515421,1451.1141432916527,0.724977734465381,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2036,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1677,53,6115,113128,0.2863304296391011,0.6027571595263214,0.031133389783588674,1461.2253968253967,0.7082327361553982,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
1,baseline,1,2037,0.0,0.0,NATURAL_GAS_BOILER,PRIVATELY_OWNED,1548,77,206,113205,0.333229399100154,0.6050353557007835,0.029808118015845896,1251.0750232991613,0.6956373412343273,MEDIUM,MEDIUM,MEDIUM,5,COST_BASED,COST_BASED,false,false
