scenario,scenario_name,iteration,dwelling_id,type,ownership,construction_year,adoption_year,hs_nb,old_hs,old_hs_age,trigger,adopted_hs,hs_in_ranking,hs_rank,hs_utility,hs_EAC,hs_PBC,hs_SN,hs_att
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2024,1,NATURAL_GAS_BOILER,11,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2025,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.6593712673133819,1309.0,0.7285638960789953,0.212133661241453,0.8298383583228574
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2025,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,2,0.6378906768981334,1148.0,0.7449455049658196,0.35480079969675893,0.6701616416771426
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2025,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,3,0.6168326031692734,1000.0,0.784013551843681,0.7895595399275463,0.17016164167714265
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2025,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,4,0.5921520036439962,1157.0,0.7206875950467087,0.0,0.6701616416771426
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2025,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.5319504852087308,1000.0,0.7465135518436811,0.07097412440103597,0.17016164167714265
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2040,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,1,0.8429927716959796,759.0,0.8070295679632552,1.0,0.8298383583228574
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2040,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,HYBRID_HEAT_PUMP,2,0.6476123593035201,683.0,0.7673905367231638,0.14595036725132232,0.6701616416771426
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2040,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,3,0.6193992691978687,1139.0,0.735148514851485,0.2112798282082581,0.6701616416771426
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2040,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BLOCK,4,0.5197395839576846,1000.0,0.7370689655172413,0.0,0.17016164167714265
1,baseline,1,0,TERRACED,PRIVATELY_OWNED,2001,2040,3,ELECTRIC_HEAT_PUMP,15,end_of_life,ELECTRIC_HEAT_PUMP,NATURAL_GAS_BOILER,5,0.5197309122287104,999.0,0.7370559579237799,0.0,0.17016164167714265
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2024,1,NATURAL_GAS_BOILER,10,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2026,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BOILER,1,0.6130463619303882,1501.0,0.7274447816557073,0.8900884854587578,0.32345480223012135
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2026,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,DISTRICT_HEATING,2,0.6062981810283821,1685.0,0.694567320984241,0.07213000000641306,0.8234548022301214
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2026,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,ELECTRIC_HEAT_PUMP,3,0.5876094573637549,1720.0,0.6749538502109704,0.14929614556876888,0.6765451977698786
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2026,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,HYBRID_HEAT_PUMP,4,0.58455904312531,1569.0,0.6709748641304347,0.0,0.8234548022301214
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2026,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BLOCK,5,0.5256314228524545,1502.0,0.6898394031360646,0.1419522446806943,0.32345480223012135
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2038,3,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,HYBRID_HEAT_PUMP,1,0.7001467566430732,1483.0,0.6570333432569216,0.7492923646006315,0.8234548022301214
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2038,3,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,DISTRICT_HEATING,2,0.6238220646012858,1677.0,0.6857744545049724,0.3527595347154069,0.8234548022301214
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2038,3,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,ELECTRIC_HEAT_PUMP,3,0.6015436570460875,1561.0,0.6824681130051258,0.20284429248614316,0.6765451977698786
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2038,3,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BOILER,4,0.5501279026909663,1500.0,0.7186053868402024,0.20578213310973414,0.32345480223012135
1,baseline,1,64,TERRACED,PRIVATELY_OWNED,2002,2038,3,NATURAL_GAS_BOILER,12,end_of_life,HYBRID_HEAT_PUMP,NATURAL_GAS_BLOCK,5,0.5079199174871758,1502.0,0.6810161756732332,0.0,0.32345480223012135
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2024,1,NATURAL_GAS_BOILER,1,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2035,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BOILER,1,0.617378818831444,3238.0,0.5766388513005563,1.0,0.8977175077864388
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2035,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,HYBRID_HEAT_PUMP,2,0.545599956176703,2510.0,0.6678293112116641,0.0,0.6022824922135612
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2035,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BLOCK,3,0.5090102440818649,3240.0,0.5390859891761876,0.0,0.8977175077864388
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2035,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,ELECTRIC_HEAT_PUMP,4,0.4916806647961403,2622.0,0.6946738064094179,0.06910627092560907,0.10228249221356123
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2035,2,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,DISTRICT_HEATING,5,0.48199254926255164,3760.0,0.5468269821757835,0.20472974931722884,0.6022824922135612
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2047,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BOILER,1,0.5949807285819823,3237.0,0.5430417159263637,1.0,0.8977175077864388
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2047,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,HYBRID_HEAT_PUMP,2,0.5229966495659952,2476.0,0.6176147873058744,0.06523825595891246,0.6022824922135612
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2047,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,NATURAL_GAS_BLOCK,3,0.4865758005126646,3240.0,0.5054343238223872,0.0,0.8977175077864388
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2047,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,DISTRICT_HEATING,4,0.4593245678044906,3760.0,0.5132371262458472,0.20143281925998718,0.6022824922135612
1,baseline,1,1,SEMIDETACHED,PRIVATELY_OWNED,1930,2047,3,NATURAL_GAS_BOILER,12,end_of_life,NATURAL_GAS_BOILER,ELECTRIC_HEAT_PUMP,5,0.4459578811510435,2559.0,0.6288692760296751,0.05798769057399912,0.10228249221356123
1,baseline,1,726,SEMIDETACHED,PRIVATELY_OWNED,1936,2024,1,NATURAL_GAS_BOILER,8,initialization,NONE,NONE,0,0,0,0,0,0
1,baseline,1,726,SEMIDETACHED,PRIVATELY_OWNED,1936,2028,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,DISTRICT_HEATING,1,0.5548833597486548,2092.0,0.639279738363249,0.36730908910958754,0.5885266604841389
1,baseline,1,726,SEMIDETACHED,PRIVATELY_OWNED,1936,2028,2,NATURAL_GAS_BOILER,12,end_of_life,ELECTRIC_HEAT_PUMP,ELECTRIC_HEAT_PUMP,2,0.5159160478377173,3999.0,0.504597076235351,0.16563464256903854,0.9114733395158611
