buurtcode,district_heating,district_heating_infra,installatie_code,installatie,infra_code,infra,status_code,status,isolatiegraad_code,isolatiegraad,start_jaar,eind_jaar
BU19160803,TRUE,TRUE,8,"eWP,Wnet",4,"E,W","In concept (onderzoekend). Voor deze wijken start de gemeente vanaf 2022 met een wijkaanpak en onderzoek naar duurzame warmteoplossingen. Hierin staat de haalbaarheid (technisch en financieel) en het betrekken van bewoners, ondernemers en andere lokale p",Voorsorterend. Vanwege de hoge warmtedichtheid in het midden van de wijk is een warmtenet in combinatie met een warmte-koude opslag waarschijnlijk een kansrijke oplossing. In het vervolgtraject zullen een aantal warmteoplossingen met elkaar vergeleken wo,8,Schillabel D/C (<1940) A/B (overig),2020,2030
BU19160804,TRUE,TRUE,8,"eWP,Wnet",4,"E,W","In concept (onderzoekend). Voor deze wijken start de gemeente vanaf 2022 met een wijkaanpak en onderzoek naar duurzame warmteoplossingen. Hierin staat de haalbaarheid (technisch en financieel) en het betrekken van bewoners, ondernemers en andere lokale p",Voorsorterend. Vanwege de hoge warmtedichtheid in het midden van de wijk is een warmtenet in combinatie met een warmte-koude opslag waarschijnlijk een kansrijke oplossing. In het vervolgtraject zullen een aantal warmteoplossingen met elkaar vergeleken wo,8,Schillabel D/C (<1940) A/B (overig),2020,2030
BU19160900,TRUE,TRUE,8,"eWP,Wnet",4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19160901,TRUE,TRUE,4,Wnet,4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19160902,TRUE,TRUE,4,Wnet,4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19161000,TRUE,TRUE,8,"eWP,Wnet",4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19161001,TRUE,TRUE,4,Wnet,4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19161002,TRUE,TRUE,4,Wnet,4,"E,W","In concept (afwachtend). In deze wijken zijn er kansen of ontwikkelingen waar de gemeente, samen met belanghebbenden, tijdig op wil inspelen. Maar niet op korte termijn omdat hier geen concrete aanleidingen voor zijn. De kansen voor deze wijken liggen va",geen keuze gemaakt. In deze wijken zal er vanaf 2030 gestart worden met vervolgonderzoek en bewonerstrajecten. Tot die tijd kunnen de bewoners altijd geen-spijt maatregelen doorvoeren zoals isolatie of een hybride warmtepomp,8,Schillabel D/C (<1940) A/B (overig),2030,2040
BU19161100,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19161101,TRUE,TRUE,11,"Wnet, hWP",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19161200,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19161201,FALSE,FALSE,3,eWP,2,E,In concept (afwachtend). Voor deze gebieden liggen individuele warmteoplossingen per gebouw voor de hand. De gemeente wil bewoners en ondernemers hier zo lang mogelijk de tijd voor geven en kiest daarom voor een natuurlijk tempo: niet het hele gebied teg,"Voorkeursoptie. Hier liggen individuele oplossingen, zoals een warmtepomp of een hybride warmtepomp, het meest voor de hand. Woningeigenaren kunnen stap voor stap maatregelen nemen, bijvoorbeeld door eerst te isoleren en een paar jaar later de CV ketel t",8,Schillabel D/C (<1940) A/B (overig),2020,2050
BU19161202,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19161300,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19161301,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G","In concept (afwachtend). Wijken (of delen daarvan) met veel oudere woningen zijn in de regel lastig aardgasvrij te maken. Ook speelt mee, dat het in het sommige wijken erg druk is in de ondergrond. Juist omdat het met de huidige warmtetechnieken nog last","geen keuze gemaakt. Tenzij er zich nieuwe (nog onvoorziene) ontwikkelingen voordoen, wordt in deze wijken vanaf 2040 gestart met gedetailleerd onderzoek naar aardgasvrije warmtevoorzieningen. Uiterlijk 2050 zullen deze wijken niet meer met aardgas verwar",8,Schillabel D/C (<1940) A/B (overig),2040,2050
BU19240001,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240002,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240003,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240101,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240102,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240103,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240104,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240105,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240106,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240107,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240108,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240109,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240201,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240202,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240203,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240204,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240205,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240301,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240302,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240303,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240304,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240305,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240306,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19240307,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
