buurtcode,district_heating,district_heating_infra,installatie_code,installatie,infra_code,infra,status_code,status,isolatiegraad_code,isolatiegraad,start_jaar,eind_jaar
BU00349997,TRUE,TRUE,4,Wnet,4,"E,W",plan moet nog uitgewerkt worden,kansrijke optie,5,Schillabel B+,2022,2040
BU00509997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",advies aan bewoners,Voorkeursoptie,1,Geen maatregelen,0,0
BU00609998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",orienterend,voorsorterend,0,Onbekend,2021,0
BU00729998,TRUE,TRUE,4,Wnet,4,"E,W",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU00889998,FALSE,FALSE,6,"hWP,eWP",0,Onbekend,concept,voorkeursoptie,0,Onbekend,2022,2050
BU00939998,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,definitief,definitief,6,Schillabel C+,2022,2030
BU00969998,FALSE,FALSE,0,Onbekend,0,Onbekend,in uitvoering,voorkeursoptie,0,Onbekend,2022,2030
BU01669997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU01719997,FALSE,FALSE,2,hWP,3,"E,G",definitief,definitief,3,Standaard en Streefwaarden,2021,0
BU01849997,FALSE,FALSE,2,hWP,3,"E,G",afwachtend,orienterend,0,Onbekend,2030,2050
BU02309997,TRUE,FALSE,4,Wnet,0,Onbekend,onderzoekend,verkennend,0,Onbekend,2023,2041
BU02339997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU02439997,TRUE,FALSE,13,"eWP,Wnet,Hr",0,Onbekend,onbekend,onbekend,0,Onbekend,0,0
BU02679997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,voorkeursoptie,voorkeursoptie,0,Onbekend,0,0
BU02699997,FALSE,FALSE,5,"hWP,Hr",0,Onbekend,concept,voorkeursoptie,0,Onbekend,2030,0
BU02739997,FALSE,FALSE,0,Onbekend,0,Onbekend,definitief,onbekend,3,Standaard en Streefwaarden,2020,2050
BU03029997,FALSE,FALSE,3,eWP,2,E,uitgesteld,voorkeursoptie,0,Onbekend,2023,2038
BU03039997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU03139997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,voorkeursoptie,0,Onbekend,2022,2030
BU03179997,FALSE,FALSE,3,eWP,2,E,"In concept(afwachtend). De gemeente wil bewoners en ondernemers hier zo lang mogelijk de tijd voor geven en kiest daarom voor een natuurlijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of ver",voorsorterend. Voor deze buurten liggen individuele warmteoplossingen per gebouw voor de hand.,8,Schillabel D/C (<1940) A/B (overig),2022,2040
BU03639997,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,voorkeursoptie,0,Onbekend,2020,2040
BU03639998,TRUE,TRUE,4,Wnet,6,"E,W,K",verkennend,voorkeursoptie,1,Geen maatregelen,0,0
BU03739998,TRUE,TRUE,4,Wnet,4,"E,W",onderzoekend,kansrijke optie,0,Onbekend,2022,0
BU03759998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU03769997,FALSE,FALSE,0,Onbekend,0,Onbekend,WUP wordt opgesteld. Plan van aanpak wordt opgesteld,voorsorterend,0,Onbekend,2022,0
BU03779998,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU03839998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU03849997,TRUE,TRUE,15,"hWP,eWP,Wnet",4,"E,W",onbekend,Voorsorterend. Langs de grens tussen Duivendrecht en Diemen-Zuid loopt een bestaand warmtenet van Vattenfal (MT/HT).Haalbaarheid onderzoeken voor een LT-warmtenet via Aquathermie en (in combinatie met) restwarmte datacenter.,0,Onbekend,0,0
BU03859997,FALSE,FALSE,0,Onbekend,0,Onbekend,definitief,voorkeursoptie,0,Onbekend,0,0
BU03889997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU03969998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU04009998,FALSE,FALSE,0,Onbekend,0,Onbekend,in uitvoering,onbekend,0,Onbekend,0,2024
BU04059997,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorsorterend,3,Standaard en Streefwaarden,2025,0
BU04069997,FALSE,FALSE,3,eWP,2,E,verkennend,voorkeursoptie,5,Schillabel B+,2022,2050
BU04209997,FALSE,FALSE,3,eWP,2,E,verkennend,kansrijke optie,0,Onbekend,0,0
BU04419998,TRUE,TRUE,4,Wnet,4,"E,W",orienterend,voorkeursoptie,3,Standaard en Streefwaarden,2022,0
BU04489998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU04539998,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend,0,Onbekend,0,2030
BU04739998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",Uitvoerend,voorkeursoptie,2,"Isolatie, geen specifiek niveau benoemd",2021,2050
BU04989997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU05059997,FALSE,FALSE,3,eWP,2,E,voorzet voor individuele actie,definitief,0,Onbekend,2021,2050
BU05189998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",plan is vastgesteld,definitief,0,Onbekend,2020,2050
BU05329997,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,2022,0
BU05379998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU05759998,FALSE,FALSE,14,"hWP,eWP,Hr",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,0
BU05999998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU06299998,FALSE,FALSE,3,eWP,2,E,orienterend,voorkeursoptie,3,Standaard en Streefwaarden,2022,0
BU06549998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06649997,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,0,0
BU06649998,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorkeursoptie,3,Standaard en Streefwaarden,0,0
BU06779998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06789998,FALSE,FALSE,6,"hWP,eWP",3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU06879997,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07039998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07159998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07169997,FALSE,FALSE,3,eWP,2,E,"In concept (afwachtend). In deze buurten kiest de gemeente Steenbergen voor een geleidelijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of verhuizing. De gemeente wil bewoners hier zo lang mo","voorsorterend. Hier liggen individuele oplossingen, zoals een warmtepomp, het meest voor de hand.",8,Schillabel D/C (<1940) A/B (overig),2022,2050
BU07169998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU07179997,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU07179998,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,2050
BU07189998,TRUE,FALSE,15,"hWP,eWP,Wnet",3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2023
BU08519997,FALSE,FALSE,3,eWP,2,E,"In concept (afwachtend). In deze buurten kiest de gemeente Steenbergen voor een geleidelijk tempo: niet de hele buurt tegelijk, maar elk gebouw op een logisch moment, bijvoorbeeld bij een verbouwing of verhuizing. De gemeente wil bewoners hier zo lang mo","voorsorterend. Hier liggen individuele oplossingen, zoals een warmtepomp, het meest voor de hand.",8,Schillabel D/C (<1940) A/B (overig),2022,2050
BU08529997,FALSE,FALSE,3,eWP,2,E,definitief,voorkeursoptie,0,Onbekend,0,0
BU09959997,FALSE,FALSE,0,onbekend,0,Onbekend,definitief,in onderzoek; warmtenet,2,no match,2030,2040
BU15989997,FALSE,FALSE,3,eWP,2,E,In concept (verkennend). De buitengebieden en dorpsranden hebben een lage bebouwingsdichtheid met veel vrijstaande huizen of twee-onder-een-kap woningen. Hier liggen individuele oplossingen het meest voor de hand. In deze buurten kan iedere individuele h,"Voorkeursoptie. In deze buurten liggen individuele oplossingen, meestal een warmtepomp, het meest voor de hand.",8,Schillabel D/C (<1940) A/B (overig),2020,2050
BU16769997,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU16769998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU16959997,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU16959998,FALSE,FALSE,2,hWP,3,"E,G",concept,voorkeursoptie,3,Standaard en Streefwaarden,2021,2050
BU17089997,FALSE,FALSE,0,Onbekend,0,Onbekend,concept,definitief,0,Onbekend,2030,0
BU17099997,FALSE,FALSE,2,hWP,3,"E,G",voorbereidend. Planvorming,geen keuze gemaakt,2,"Isolatie, geen specifiek niveau benoemd",2022,0
BU17149998,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,3,Standaard en Streefwaarden,2021,2023
BU17839998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",plan is vastgesteld,definitief,0,Onbekend,2020,2050
BU18959998,FALSE,FALSE,0,Onbekend,0,Onbekend,plan wordt opgesteld,voorsorterend,0,Onbekend,0,0
BU18969997,FALSE,FALSE,0,Onbekend,0,Onbekend,concept,definitief,2,"Isolatie, geen specifiek niveau benoemd",0,0
BU19009997,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",voorbereidend,voorkeursoptie,5,Schillabel B+,0,2030
BU19009998,TRUE,TRUE,8,"eWP,Wnet",4,"E,W",voorbereidend,voorkeursoptie,5,Schillabel B+,0,2030
BU19119997,FALSE,FALSE,3,eWP,2,E,verkennend,kansrijke optie,0,Onbekend,0,0
BU19119998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19249997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19249998,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,orienterend,onbekend,0,Onbekend,2021,2024
BU19309997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19409997,TRUE,TRUE,15,"hWP,eWP,Wnet",5,"E,W,G",orienterend,voorkeursoptie,0,Onbekend,0,0
BU19429997,FALSE,FALSE,3,eWP,2,E,verkennend,voorkeursoptie,0,Onbekend,2040,2050
BU19499998,FALSE,FALSE,6,"hWP,eWP",3,"E,G",orienterend,voorkeursoptie,0,Onbekend,0,0
BU19639997,FALSE,FALSE,0,Onbekend,1,Niet van toepassing,richtinggevend,richtinggevend,2,"Isolatie, geen specifiek niveau benoemd",0,2050
BU19669997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19669998,FALSE,FALSE,6,"hWP,eWP",0,Onbekend,concept,voorkeursoptie,0,Onbekend,2022,2050
BU19699997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19709997,TRUE,TRUE,15,"hWP,eWP,Wnet",4,"E,W",orienterend,voorkeursoptie,0,Onbekend,0,0
BU19709998,TRUE,TRUE,15,"hWP,eWP,Wnet",4,"E,W",orienterend,voorkeursoptie,0,Onbekend,0,0
BU19799998,TRUE,TRUE,4,Wnet,4,"E,W","onderzoekend, mogelijkeden voor warmtenet met industriele restwarmte voor bepaalde wijken",kansrijke optie,2,"Isolatie, geen specifiek niveau benoemd",0,0
BU19929997,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU19929998,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140000,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140001,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140002,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140003,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140004,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140005,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140007,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140008,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140100,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140101,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140102,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140103,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140104,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140105,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140106,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140107,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140108,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140109,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140110,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140200,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140201,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140202,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140203,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140300,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140301,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140302,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140400,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140401,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140402,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140403,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140404,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140500,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140501,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140502,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140503,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140504,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140505,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140506,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140507,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140508,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140509,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140510,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00140511,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00140600,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140601,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140602,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140603,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140604,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140605,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140606,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140700,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140701,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00140702,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00140703,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140704,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00140705,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00140800,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140801,FALSE,FALSE,1,Hr,0,Onbekend,"concept, maatwerk individueel",voorkeursoptie,5,Schillabel B+,2020,2050
BU00140802,FALSE,FALSE,14,"hWP,eWP,Hr",0,Onbekend,concept. actie waar mogelijk,"definitief, maatwerk individueel",2,"Isolatie, geen specifiek niveau benoemd",2020,2050
BU00140803,FALSE,FALSE,0,Onbekend,0,Onbekend,voorbereidend,voorkeursoptie,0,Onbekend,2022,2040
BU00140804,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140805,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140806,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140809,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140810,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140811,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00140812,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140900,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140901,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140902,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140903,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140904,FALSE,FALSE,3,eWP,2,E,definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140905,FALSE,FALSE,3,eWP,2,E,definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00140906,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140907,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140908,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00140909,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141000,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141001,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141002,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141003,FALSE,FALSE,3,eWP,2,E,definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141004,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141005,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141100,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141101,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141102,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141103,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141104,TRUE,TRUE,4,Wnet,4,"E,W",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141105,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141106,FALSE,TRUE,8,eWP,5,"E,W,G",voorbereidend,voorsorterend; 5GDHC warmtenet,5,Schillabel B+,2020,2028
BU00141107,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141200,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141201,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141202,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141203,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141204,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141205,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141206,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141207,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141208,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141209,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141210,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141211,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141300,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141301,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141302,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141400,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141401,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141402,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141403,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141404,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141405,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141406,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141500,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141501,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141502,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141503,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141504,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141505,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141506,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141600,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141601,FALSE,FALSE,2,hWP,3,"E,G",definitief,voorsorterend en/of voorkeursopties,0,Onbekend,2023,2035
BU00141602,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141603,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141604,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141605,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
BU00141700,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141701,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141702,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141703,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141704,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141705,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141706,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141707,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00141708,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141709,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141710,FALSE,FALSE,5,"hWP,Hr",3,"E,G",definitief,definitief,0,Onbekend,2020,2050
BU00141800,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141801,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141802,FALSE,FALSE,-9999,no match,-9999,no match,no match,no match,-9999,no match,0,0
BU00141803,FALSE,FALSE,0,Onbekend,0,Onbekend,orienterend,voorkeursoptie,0,Onbekend,0,0
