buurtcode,gasCV,gasBlock,ehp,hhp,dh,hasDHgrid
BU00141501,0.0,0.0,0.0,0.0,0.0,false
BU00141502,0.94,0.0,0.03,0.03,0.0,false
BU00141503,0.95,0.0,0.03,0.03,0.0,false
BU00141504,0.0,0.0,0.0,0.0,0.0,false
BU00141505,0.0,0.0,0.0,0.0,0.0,false
BU00141506,0.0,0.0,0.0,0.0,0.0,false
BU00141600,0.76,0.0,0.12,0.02,0.0,false
BU00141601,0.0,0.0,0.0,0.0,0.0,false
BU00141602,0.93,0.0,0.02,0.04,0.0,false
BU00141603,0.0,0.0,0.0,0.0,0.0,false
BU00141604,0.0,0.0,0.0,0.0,0.0,false
BU00141605,0.09,0.0,0.02,0.0,0.0,false
BU00141700,0.96,0.02,0.01,0.0,0.0,false
BU00141701,0.84,0.12,0.01,0.01,0.0,false
BU00141702,0.91,0.02,0.03,0.01,0.0,false
BU00141703,0.7,0.11,0.12,0.02,0.0,false
BU00141704,0.0,0.0,0.0,0.0,0.0,false
BU00141705,0.0,0.0,0.0,0.0,0.0,false
BU00141706,0.0,0.0,0.0,0.0,0.0,false
BU00141707,0.8,0.01,0.08,0.04,0.0,false
BU00141708,0.96,0.0,0.02,0.02,0.0,false
BU00141709,0.0,0.0,0.0,0.0,0.0,false
BU00141710,0.0,0.0,0.0,0.0,0.0,false
BU00141800,0.9,0.03,0.02,0.01,0.0,false
BU00141801,0.99,0.0,0.02,0.0,0.0,false
BU00141802,0.0,0.0,0.0,0.0,0.0,false
BU00141803,0.0,0.0,0.0,0.0,0.0,false
BU00141900,0.93,0.0,0.01,0.05,0.0,false
BU00141901,0.94,0.0,0.03,0.04,0.0,false
BU00141902,0.95,0.0,0.01,0.04,0.0,false
BU00141903,0.83,0.12,0.03,0.02,0.0,false
BU00141904,0.0,0.0,0.0,0.0,0.0,false
BU00141905,0.0,0.0,0.0,0.0,0.0,false
BU00141906,0.0,0.0,0.0,0.0,0.0,false
BU00141907,0.0,0.0,0.0,0.0,0.0,false
BU00141908,0.0,0.0,0.0,0.0,0.0,false
BU00141909,0.0,0.0,0.0,0.0,0.0,false
BU00340101,0.35,0.41,0.11,0.0,0.11,true
BU00340102,0.82,0.18,0.0,0.0,0.0,false
BU00340201,1.0,0.0,0.0,0.0,0.0,false
BU00340202,1.0,0.0,0.0,0.0,0.0,false
BU00340203,1.0,0.0,0.0,0.0,0.0,false
BU00340204,1.0,0.0,0.0,0.0,0.0,false
BU00340205,0.99,0.0,0.0,0.0,0.0,false
BU00340301,0.98,0.0,0.01,0.01,0.0,false
BU00340302,0.99,0.0,0.0,0.01,0.0,false
BU00340303,1.0,0.0,0.0,0.0,0.0,false
BU00340304,0.0,0.0,0.0,0.0,0.0,false
BU00340401,0.99,0.0,0.01,0.0,0.0,false
BU00340402,1.0,0.0,0.0,0.0,0.0,false
BU00340403,1.0,0.0,0.0,0.0,0.0,false
BU00340501,0.99,0.0,0.01,0.0,0.0,false
BU00340502,0.98,0.0,0.02,0.01,0.0,false
BU00340503,1.0,0.0,0.0,0.0,0.0,false
BU00340504,0.0,0.0,0.0,0.0,0.0,false
BU00340601,0.95,0.0,0.04,0.01,0.0,false
BU00340602,0.99,0.0,0.0,0.0,0.0,false
